cn_id;hateSpeech;counterSpeech;hsType;hsSubType;cnType;age;gender;educationLevel;Unnamed: 9;clarity;evidence;emotional_appeal;rebuttal;audience_adaptation;fairness
ENT1ST0014HS0031CN000698P1;Islam has nothing to do with western culture and as soon as the west will understand, this religion will be defeated.;I am not sure what you think the West will be the 'winner' of. Islam isn't in competition with Western culture, and the idea it threatens it is a myth spread to incite fear.;Islamophobia;generic;denouncing , facts;21.0;female;Bachelor;;3;3;0;3;1;3
ENT1ST0001HS0074CN000064;Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.;If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?;Islamophobia;crimes;facts , question;26.0;female;Bachelor;;2;3;0;3;1;3
ENT1ST0008HS0083CN000207P2;Islam is a religion mostly based on conquest and violence.;Are all major religions not religions of conquest to some extent? It does not mean they cannot be practiced peacefully. (link to article about the pope likening Christianity and Islam through their 'idea of conquest');Islamophobia;culture;hypocrisy;21.0;female;Master;;3;3;0;3;1;3
ENT1ST0023HS0090CN001283;Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.;I would not call it sad or self loathing to join a sisterhood of tolerance.;Islamophobia;women;positive;25.0;female;Master;;2;2;0;2;1;3
ENT1ST0008HS0113CN000252;Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.;I have met so many Muslim people adhering to British values. What do you base your view on?;Islamophobia;culture;affiliation , question;26.0;female;Bachelor;;3;3;0;3;1;3
ENT1ST0008HS0120CN000243;This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.;Does any religion have a 'sell-by-date'?;Islamophobia;culture;humor;61.0;male;Bachelor;;2;2;0;2;1;3
ENT1ST0003HS0055CN000090;Islam is a cult and not a religion. They rape children, enslave and murder people, attack our values, and there is nothing good about it. It is incompatible with our way of life.;There are criminals, who are from UK, raping children and murdering people. Maybe it better we should first focus on these cases and think how we could decrease the number of crimes.;Islamophobia;crimes , culture , rapism;facts , hypocrisy;29.0;female;Master;;2;2;0;3;1;3
ENT1ST0019HS0034CN001102P2;Another citizen of Pakistan raped a woman. We should take all the Pakistan citizens to their homeland.;We deported over 6,000 foreign nationals for criminal offences over 2016/17. I am guessing, but I not all of them went back to Pakistan. Criminality and sexual offending are not really a matter of nationality, are they?;Islamophobia;rapism;facts , hypocrisy;61.0;male;Bachelor;;3;3;0;3;1;3
ENT1ST0008HS0098CN000151;Islam is irrational and incompatible with science.;Much like your statement then.;Islamophobia;culture;denouncing , humor;50.0;male;Bachelor;;2;1;1;2;1;3
ENT1ST0008HS0128CN000484P2;If a girl has muslim parents, she is at risk of FGM!;The Quran does not mention FGM and it is carried out by Christians as well as Muslims. The fact that her parents are Muslim has no bearing on the risk factor.;Islamophobia;culture;facts;25.0;female;Bachelor;;3;3;0;3;1;3
ENT1ST0015HS0078CN000966P1;In Birmingham there are Muslims shops that do not serve white people after 8pm.;Photo? Evidence? Did you report them? Or just another internet myth.;Islamophobia;islamization;question;50.0;male;Bachelor;;2;2;0;2;1;3
ENT1ST0022HS0050CN001253P2;You could say that nowadays only 5-10% of Muslims are extremists, but remember that in 1940 only 7% germans were Nazis.;So 90-95% are not?;Islamophobia;terrorism;hypocrisy;22.0;female;Master;;2;2;1;2;1;3
ENT1ST0014HS0052CN000658P2;Muslims are not civilised and Europe does not want them.;We still use Arabic numbers, maths, medicines, and rely on trade and loans from Islamic countries. Islam is an intricate part of civilization as we know it.;Islamophobia;generic;facts;50.0;male;Bachelor;;3;3;0;2;1;3
ENT1ST0001HS0122CN000054P2;Doesn't the Koran say: 'Murder all the non-Muslims wherever they hide'?;All hatred is wrong.;Islamophobia;crimes;facts;25.0;male;Master;;2;1;0;1;1;3
ENT1ST0014HS0079CN000811P2;Islam is the illness of the world and must be cured with antibiotics.;An entire faith of 1.6 billion people is not a cancer.;Islamophobia;generic;denouncing;25.0;male;Master;;2;2;0;2;1;3
ENT1ST0015HS0104CN000955P2;A Muslim is so oversensitive, that we cannot raise our national flag.;Most Muslims are too busy working hard, looking after their families and neighbours, propping up the NHS to be worried about such nonsense.;Islamophobia;islamization;denouncing , positive;50.0;male;Bachelor;;3;3;1;2;1;2
ENT1ST0001HS0123CN000040P1;Muslims conceived the slave trade.;Slavery long predated Islam, they inherited slavery and proceeded to improve conditions. Way ahead of the rest of the world.;Islamophobia;crimes;facts;25.0;male;Some university without degree;;3;3;0;3;1;3
ENT1ST0013HS0003CN000581;The vast majority of Muslims are unemployed and refuse to work.;How do you know this? Do you have any proof, official papers?;Islamophobia;economics;question;26.0;female;Bachelor;;2;2;0;2;1;3
ENT1ST0008HS0012CN000204;A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.);We are all doing our best for our country under God.;Islamophobia;culture;positive;50.0;male;Bachelor;;2;1;0;2;1;3
ENT1ST0014HS0041CN000761;Islam - Silence is tacit acceptance. Raise your voice before it is too late!;Christianity and Islam are united in preaching love and leaving judgment to God / Allah what are you preaching?;Islamophobia;generic;facts , question;50.0;male;Bachelor;;3;3;1;2;1;2
ENT1ST0014HS0047CN000886P2;We are every day in constant danger, because Muslims can blow us all up. For this fact we should put all Muslims in a hole in the ground.;Dig a hole, build a wall, get your act together guys.;Islamophobia;generic;humor;50.0;male;Bachelor;;2;1;1;1;1;2
ENT1ST0019HS0103CN001129P1;There are groups of Muslims, instructed by Koran, that rape our women, and we allow this to happen. Why?;There are Bible scriptures about the stoning to death of virgins who do not scream when they are raped, we do not blame the bible for Christian rapists. The Quran.;Islamophobia;rapism;hypocrisy;25.0;female;Bachelor;;2;2;0;2;1;3
ENT1ST0008HS0061CN000164P2;Muslims are only a bunch of indoctrinated that follow a religion that has many similarities with a sect.;A large proportion of NHS workers are Asian, and many Muslim. Without them we would not have a free 24/7 healthcare service.;Islamophobia;culture;facts;21.0;female;Master;;2;2;0;1;1;3
ENT1ST0014HS0016CN000780;It is one law for Muslims and another law for us.;It is quite literally not.;Islamophobia;generic;facts;21.0;female;Master;;2;1;0;1;1;3
ENT1ST0008HS0065CN000379P2;Muslims do not have nothing useful that can enrich our culture.;Hospitals, coffee, clocks, cameras, universities, surgery, maps, music, algebra, paper, vaccinations, clocks, three course meals, carpets. I could go on.;Islamophobia;culture;facts;25.0;female;Bachelor;;2;2;1;2;1;3
ENT1ST0014HS0052CN000666;Muslims have no place in civilised Europe.;Some of the oldest civilisations in existence are Islamic. I would not call the religious hatred directed at Muslims in Europe 'civilised'.;Islamophobia;generic;denouncing , facts;21.0;female;Master;;3;2;0;2;1;3
ENT1ST0008HS0056CN000420P1;If you support Islam and Muslims, it is because you do not know what they really are.;What it really is is up for interpretation. Religions are practiced differently by different followers. Like any religion, some people follow it peacefully and some use it for their own means.;Islamophobia;culture;facts;21.0;female;Master;;3;3;0;3;1;3
ENT1ST0015HS0102CN001001P2;Christmas cannot be celebrated securely anymore, because of Muslims and their insults.;No one is offended by people celebrating Christmas. Myths like this are manufactured by right-wing sources to make minorities and the left look easily offended, and invalidate the issues they really care about.;Islamophobia;islamization;facts;21.0;female;Master;;3;2;0;3;1;3
ENT1ST0008HS0053CN000429P2;Western societies are too much civilised to welcome Muslims.;Perhaps we should stop exporting goods or buying stuff from from Islamic countries? While were at it give back their numbers, maths and architecture?;Islamophobia;culture;hypocrisy;50.0;male;Bachelor;;2;2;1;2;1;3
ENT1ST0009HS0040CN000510P2;The only way we can fight Islam and Sharia is to banish them from the UK. Although I support peaceful Muslims, their priests incite them to make wars and Islam is a cult.;If someone's agitating for war and death, we should deal with them directly. But as you correctly point that out, most of the people are not connected to the offensive statements and are just peaceful Muslims.;Islamophobia;culture , generic;facts , hypocrisy;24.0;female;Bachelor;;3;3;0;3;1;3
ENT1ST0023HS0009CN001268P1;These liberal standards! Muslims are intolerant with other cultures, women and homosexuals, but our society protects them with this liberalist policy.;How exactly are Muslims oppressing other cultures? Do you think maybe spreading the opinion that all Muslims are homophobic and sexist demonises them and legitimises oppressing their culture?;Islamophobia;women;hypocrisy , question;21.0;female;Bachelor;;3;3;0;3;1;3
ENT1ST0014HS0060CN000840P1;We should expel Muslims, everyone wants them out of the country.;No, bad plan. So much less diversity and cultural richness.;Islamophobia;generic;facts;22.0;female;Master;;2;1;0;3;1;3
ENT1ST0019HS0018CN001079P2;If you are an English girl and you moved in a islamic area, you should beware of muslim men. Do not accept anything from them. Pay attention also to the police!;What do you mean by an Islamic area? Why do not we take a look at Dubai, an Islamic city, where foreigners seem to be doing just fine.;Islamophobia;rapism;facts;25.0;female;Master;;2;2;0;2;1;3
ENT1ST0005HS0037CN000101;People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed to enter. English laws persecute us instead of defending us, English people.;Black people get stopped by the police for no reason other than being black. Muslims get surveyed by PREVENT just for being Muslim. Anyone would think English law has been persecuting Muslims for hundreds of years.;Islamophobia;crimes , rapism;facts;21.0;female;Bachelor;;3;3;0;3;1;3
ENT1ST0005HS0029CN000126P1;Everything will be better if Muslims did not exist. Their only contribute to our society is violence.;Many Muslims have engaged in protests to demonstrate their upset and disgust regarding the various grooming gangs scandals in the UK.;Islamophobia;crimes , rapism;facts;28.0;female;Master;;2;2;0;2;1;3
ENT1ST0014HS0100CN000774;Muslims, if they cannot assimilate, they should emigrate.;Maybe you are the one that needs to assimilate to living in a multicultural society with people who are different from you?;Islamophobia;generic;denouncing;21.0;female;Master;;2;2;1;2;1;1
ENT1ST0014HS0066CN000729P2;Conciliation with Muslims and Islam should be considered a mental illness.;But as Muslims contribute Billions to the economy, build SMEs, and contribute more than they take is not appeasing its gaining.;Islamophobia;generic;facts;50.0;male;Bachelor;;2;2;1;2;1;3
ENT1ST0005HS0029CN000109P1;Everything will be better if Muslims did not exist. Their only contribute to our society is violence.;Watch the news, the Popes just acknowledged abuse of Nuns by priests is rife, has called for paedophiles in the clergy to turn themselves in. The problem is society not restricted to anyone religion.;Islamophobia;crimes , rapism;facts;50.0;male;Bachelor;;3;2;0;2;1;2
ENT1ST0008HS0073CN000321P1;Muslims use corporal and cruel punishment on people.;Violence is only permitted in the qu'ran through means of self-defence.;Islamophobia;culture;facts;28.0;female;Master;;2;2;0;2;1;3
ENT1ST0014HS0004CN000859P1;This despicable Muslims hadn't won yet. Now there will be a cruel punishment!;That sounds like quite a violent threat. Should I let the police know about this or?;Islamophobia;generic;consequences;21.0;female;Master;;2;1;1;2;1;1
ENT1ST0005HS0037CN000100P1;British laws are more in favor of Muslims. Muslims will not get punished if they commit a crime, but British people will.;The law is to protect and defend people, as well as regulate behavior in a society, so does English law. Words hurt. If a Brit person hurts others, it is logical to get punishment.;Islamophobia;crimes , rapism;facts;29.0;female;Master;;3;3;0;2;1;3
ENT1ST0023HS0009CN001266;Liberal double standards! Muslims oppress women, homosexuals and other cultures but are not held responsible due to our society's tolerance! The government should stop submitting to these people.;Is there any evidence of muslim immigrants oppressing anyone? I would like to see the official statistics for it, in particular for our country (not muslim world in general).;Islamophobia;women;question;24.0;female;Bachelor;;3;2;0;3;1;3
ENT1ST0008HS0073CN000326;Using violence to punish another person? Sounds like a muslim issue.;That is what biased news reports would have you believe, but violent incidents are committed by people of all faiths, muslims just get reported on more.;Islamophobia;culture;facts;21.0;female;Master;;3;2;0;3;1;3
ENT1ST0010HS0001CN000528P1;Islam=evil. Islam is invading us and trying to take over countries. It does not follow the scriptures that say 'you shall not envy anyone anything' Stop islam!;I do not think Islam is evil. The Qu'ran statements do not promote anything evil or hateful. The reputation of Muslims was undermined by terrorist groups, but no need to generalize too much.;Islamophobia;culture , islamization;facts;24.0;female;Bachelor;;2;2;0;2;1;3
ENT1ST0008HS0073CN000314P2;Muslims use acts of violence to punish people.;No religion encourages violence towards others. I do not think it is a muslim issue at all.;Islamophobia;culture;facts;26.0;female;Bachelor;;2;2;0;2;1;3
ENT1ST0014HS0067CN000805;What is the point in listening to Muslim women? They are all retarded.;Wow! Offending Muslims, women, and disabled people, all in one tweet? What is made you so angry?;Islamophobia;generic;denouncing;21.0;female;Master;;2;1;1;1;1;1
ENT1ST0008HS0129CN000165P2;Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;During the depression following the second world war, Muslims from across the world were invited to Britain to help combat austerity. It worked. They were invited because countries across the world had already been subjugated by the British Empire.;Islamophobia;culture;facts;25.0;male;Some university without degree;;2;3;0;2;1;3
ENT1ST0008HS0053CN000437P2;Western societies are too much civilised to welcome Muslims.;Intolerance of other peoples religious beliefs is incompatible with Western society.;Islamophobia;culture;denouncing;21.0;female;Master;;2;2;0;2;1;3
ENT1ST0014HS0134CN000786P2;China learned how to deal with Muslims: in the last chinese new year celebration they obligate them to eat pork and drink alcohol.;Doing it right'? I think you have got your moral compass upside down!;Islamophobia;generic;denouncing;61.0;male;Bachelor;;2;1;1;1;1;1
ENT1ST0013HS0072CN000605P2;The Pakistani Muslims in the ghettos of Birmingham, Bradford and other cities hate Jews and steal our jobs. They are divided into two classes: Radical Islam class and middle class.;Dear friend, do not you think anti-Muslim is another version of anti-Semitic? I suggest that we stop racism, and hopefully once and for all.;Islamophobia;economics;denouncing , hypocrisy;29.0;female;Master;;2;2;0;2;1;1
